id,fk_user,price,creation_date,address
83,54,0,2022-09-17,"17057 Willie Shore East Adam, AL 68477"
84,9,0,2022-09-15,"915 Ryan Plaza Suite 837 South Jaclynmouth, UT 09573"
85,75,0,2022-09-08,"052 David Land Apt. 994 Burnschester, DC 78961"
86,58,0,2022-09-09,"496 Sarah Neck Apt. 351 West Donna, ND 56090"
87,35,0,2022-09-01,"5051 Fry Fall Apt. 883 South Tiffanyshire, WV 23966"
88,16,0,2022-09-17,"417 Donna Street Rogerschester, NJ 41503"
89,18,0,2022-09-18,"68299 Johnny Canyon South Barry, TX 44135"
90,15,0,2022-09-17,USCGC Allen FPO AA 72059
91,19,0,2022-09-19,"32468 Brown Lane Underwoodside, NY 06711"
92,88,0,2022-09-10,"2051 Rodriguez Heights Suite 594 Stephaniemouth, NC 86414"
93,19,0,2022-09-14,"8254 Mason Terrace Suite 723 Michaelfurt, WI 94056"
94,19,0,2022-09-10,"7337 Moran Circle Suite 665 West Toni, MI 18740"
95,45,0,2022-09-07,"4464 George Harbors Suite 102 West Joseville, SC 00523"
96,35,0,2022-09-15,"53016 Simpson Falls Lake Gregoryport, MD 52207"
97,52,0,2022-09-13,"6360 Pineda Stravenue Rhondaberg, TX 45993"
98,44,0,2022-09-16,"2546 Cameron Land Knightmouth, OH 80200"
99,53,0,2022-09-01,"844 Rachel Underpass Apt. 236 Lake Danaberg, HI 04520"
